county,office,party,candidate,votes
Atascosa,Comptroller,LIB,,430
Austin,Comptroller,DEM,Janet T. Dudding,1616
Austin,Comptroller,REP,Glenn Hegar,9356
Austin,Comptroller,LIB,,152
Bailey,Comptroller,DEM,Janet T. Dudding,196
Bailey,Comptroller,REP,Glenn Hegar,1076
Bailey,Comptroller,LIB,,32
Bandera,Comptroller,DEM,Janet T. Dudding,1724
Bandera,Comptroller,REP,Glenn Hegar,8512
Bandera,Comptroller,LIB,,175
Bastrop,Comptroller,DEM,Janet T. Dudding,11138
Bastrop,Comptroller,REP,Glenn Hegar,16836
Bastrop,Comptroller,LIB,,846
Baylor,Comptroller,DEM,Janet T. Dudding,106
Baylor,Comptroller,REP,Glenn Hegar,1152
Baylor,Comptroller,LIB,,17
Bee,Comptroller,DEM,Janet T. Dudding,1904
Bee,Comptroller,REP,Glenn Hegar,4189
Bee,Comptroller,LIB,,185
Bell,Comptroller,DEM,Janet T. Dudding,32441
Bell,Comptroller,REP,Glenn Hegar,51778
Bell,Comptroller,LIB,,2316
Bexar,Comptroller,DEM,Janet T. Dudding,281462
Bexar,Comptroller,REP,Glenn Hegar,227482
Bexar,Comptroller,LIB,,18834
Blanco,Comptroller,DEM,Janet T. Dudding,1432
Blanco,Comptroller,REP,Glenn Hegar,5140
Blanco,Comptroller,LIB,,143
Borden,Comptroller,DEM,Janet T. Dudding,11
Borden,Comptroller,REP,Glenn Hegar,299
Borden,Comptroller,LIB,,1
Bosque,Comptroller,DEM,Janet T. Dudding,1014
Bosque,Comptroller,REP,Glenn Hegar,6236
Bosque,Comptroller,LIB,,83
Bowie,Comptroller,DEM,Janet T. Dudding,5972
Bowie,Comptroller,REP,Glenn Hegar,19933
Bowie,Comptroller,LIB,,369
Brazoria,Comptroller,DEM,Janet T. Dudding,40373
Brazoria,Comptroller,REP,Glenn Hegar,66060
Brazoria,Comptroller,LIB,,2637
Brazos,Comptroller,DEM,Janet T. Dudding,21165
Brazos,Comptroller,REP,Glenn Hegar,36257
Brazos,Comptroller,LIB,,1632
Brewster,Comptroller,DEM,Janet T. Dudding,1570
Brewster,Comptroller,REP,Glenn Hegar,1931
Brewster,Comptroller,LIB,,145
Briscoe,Comptroller,DEM,Janet T. Dudding,46
Briscoe,Comptroller,REP,Glenn Hegar,537
Briscoe,Comptroller,LIB,,4
Brooks,Comptroller,DEM,Janet T. Dudding,1101
Brooks,Comptroller,REP,Glenn Hegar,593
Brooks,Comptroller,LIB,,129
Brown,Comptroller,DEM,Janet T. Dudding,1232
Brown,Comptroller,REP,Glenn Hegar,10774
Brown,Comptroller,LIB,,170
Burleson,Comptroller,DEM,Janet T. Dudding,1102
Burleson,Comptroller,REP,Glenn Hegar,5477
Burleson,Comptroller,LIB,,89
Burnet,Comptroller,DEM,Janet T. Dudding,4049
Burnet,Comptroller,REP,Glenn Hegar,16518
Burnet,Comptroller,LIB,,419
Caldwell,Comptroller,DEM,Janet T. Dudding,4454
Caldwell,Comptroller,REP,Glenn Hegar,6361
Caldwell,Comptroller,LIB,,373
Calhoun,Comptroller,DEM,Janet T. Dudding,1203
Calhoun,Comptroller,REP,Glenn Hegar,4183
Calhoun,Comptroller,LIB,,103
Callahan,Comptroller,DEM,Janet T. Dudding,439
Callahan,Comptroller,REP,Glenn Hegar,4725
Callahan,Comptroller,LIB,,61
Cameron,Comptroller,DEM,Janet T. Dudding,38775
Cameron,Comptroller,REP,Glenn Hegar,32213
Cameron,Comptroller,LIB,,3833
Camp,Comptroller,DEM,Janet T. Dudding,834
Camp,Comptroller,REP,Glenn Hegar,3049
Camp,Comptroller,LIB,,55
Carson,Comptroller,DEM,Janet T. Dudding,194
Carson,Comptroller,REP,Glenn Hegar,2134
Carson,Comptroller,LIB,,36
Cass,Comptroller,DEM,Janet T. Dudding,1503
Cass,Comptroller,REP,Glenn Hegar,8325
Cass,Comptroller,LIB,,81
Castro,Comptroller,DEM,Janet T. Dudding,234
Castro,Comptroller,REP,Glenn Hegar,1186
Castro,Comptroller,LIB,,35
Chambers,Comptroller,DEM,Janet T. Dudding,2318
Chambers,Comptroller,REP,Glenn Hegar,13039
Chambers,Comptroller,LIB,,257
Cherokee,Comptroller,DEM,Janet T. Dudding,2300
Cherokee,Comptroller,REP,Glenn Hegar,11870
Cherokee,Comptroller,LIB,,163
Childress,Comptroller,DEM,Janet T. Dudding,157
Childress,Comptroller,REP,Glenn Hegar,1528
Childress,Comptroller,LIB,,30
Clay,Comptroller,DEM,Janet T. Dudding,401
Clay,Comptroller,REP,Glenn Hegar,4009
Clay,Comptroller,LIB,,40
Cochran,Comptroller,DEM,Janet T. Dudding,84
Cochran,Comptroller,REP,Glenn Hegar,498
Cochran,Comptroller,LIB,,19
Coke,Comptroller,DEM,Janet T. Dudding,107
Coke,Comptroller,REP,Glenn Hegar,1242
Coke,Comptroller,LIB,,20
Coleman,Comptroller,DEM,Janet T. Dudding,258
Coleman,Comptroller,REP,Glenn Hegar,2907
Coleman,Comptroller,LIB,,27
Collin,Comptroller,DEM,Janet T. Dudding,145368
Collin,Comptroller,REP,Glenn Hegar,204865
Collin,Comptroller,LIB,,7423
Collingsworth,Comptroller,DEM,Janet T. Dudding,74
Collingsworth,Comptroller,REP,Glenn Hegar,811
Collingsworth,Comptroller,LIB,,6
Colorado,Comptroller,DEM,Janet T. Dudding,1282
Colorado,Comptroller,REP,Glenn Hegar,6111
Colorado,Comptroller,LIB,,105
Comal,Comptroller,DEM,Janet T. Dudding,17400
Comal,Comptroller,REP,Glenn Hegar,55307
Comal,Comptroller,LIB,,1585
Comanche,Comptroller,DEM,Janet T. Dudding,519
Comanche,Comptroller,REP,Glenn Hegar,4199
Comanche,Comptroller,LIB,,76
Concho,Comptroller,DEM,Janet T. Dudding,113
Concho,Comptroller,REP,Glenn Hegar,798
Concho,Comptroller,LIB,,17
Cooke,Comptroller,DEM,Janet T. Dudding,2061
Cooke,Comptroller,REP,Glenn Hegar,12816
Cooke,Comptroller,LIB,,235
Coryell,Comptroller,DEM,Janet T. Dudding,4182
Coryell,Comptroller,REP,Glenn Hegar,11599
Coryell,Comptroller,LIB,,414
Cottle,Comptroller,DEM,Janet T. Dudding,58
Cottle,Comptroller,REP,Glenn Hegar,434
Cottle,Comptroller,LIB,,7
Crane,Comptroller,DEM,Janet T. Dudding,133
Crane,Comptroller,REP,Glenn Hegar,913
Crane,Comptroller,LIB,,42
Crockett,Comptroller,DEM,Janet T. Dudding,246
Crockett,Comptroller,REP,Glenn Hegar,866
Crockett,Comptroller,LIB,,66
Crosby,Comptroller,DEM,Janet T. Dudding,257
Crosby,Comptroller,REP,Glenn Hegar,959
Crosby,Comptroller,LIB,,26
Culberson,Comptroller,DEM,Janet T. Dudding,264
Culberson,Comptroller,REP,Glenn Hegar,310
Culberson,Comptroller,LIB,,45
Dallam,Comptroller,DEM,Janet T. Dudding,76
Dallam,Comptroller,REP,Glenn Hegar,947
Dallam,Comptroller,LIB,,15
Dallas,Comptroller,DEM,Janet T. Dudding,362633
Dallas,Comptroller,REP,Glenn Hegar,238296
Dallas,Comptroller,LIB,,19374
Dawson,Comptroller,DEM,Janet T. Dudding,379
Dawson,Comptroller,REP,Glenn Hegar,2022
Dawson,Comptroller,LIB,,71
DeWitt,Comptroller,DEM,Janet T. Dudding,793
DeWitt,Comptroller,REP,Glenn Hegar,5171
DeWitt,Comptroller,LIB,,53
Deaf Smith,Comptroller,DEM,Janet T. Dudding,588
Deaf Smith,Comptroller,REP,Glenn Hegar,2248
Deaf Smith,Comptroller,LIB,,92
Delta,Comptroller,DEM,Janet T. Dudding,274
Delta,Comptroller,REP,Glenn Hegar,1706
Delta,Comptroller,LIB,,20
Denton,Comptroller,DEM,Janet T. Dudding,123619
Denton,Comptroller,REP,Glenn Hegar,181833
Denton,Comptroller,LIB,,8377
Dickens,Comptroller,DEM,Janet T. Dudding,85
Dickens,Comptroller,REP,Glenn Hegar,678
Dickens,Comptroller,LIB,,12
Dimmit,Comptroller,DEM,Janet T. Dudding,1502
Dimmit,Comptroller,REP,Glenn Hegar,864
Dimmit,Comptroller,LIB,,123
Donley,Comptroller,DEM,Janet T. Dudding,103
Donley,Comptroller,REP,Glenn Hegar,1069
Donley,Comptroller,LIB,,4
Duval,Comptroller,DEM,Janet T. Dudding,1740
Duval,Comptroller,REP,Glenn Hegar,1137
Duval,Comptroller,LIB,,202
Eastland,Comptroller,DEM,Janet T. Dudding,613
Eastland,Comptroller,REP,Glenn Hegar,5430
Eastland,Comptroller,LIB,,72
Ector,Comptroller,DEM,Janet T. Dudding,5474
Ector,Comptroller,REP,Glenn Hegar,18914
Ector,Comptroller,LIB,,725
Edwards,Comptroller,DEM,Janet T. Dudding,80
Edwards,Comptroller,REP,Glenn Hegar,697
Edwards,Comptroller,LIB,,12
El Paso,Comptroller,DEM,Janet T. Dudding,96041
El Paso,Comptroller,REP,Glenn Hegar,56481
El Paso,Comptroller,LIB,,7837
Ellis,Comptroller,DEM,Janet T. Dudding,19211
Ellis,Comptroller,REP,Glenn Hegar,45596
Ellis,Comptroller,LIB,,1578
Erath,Comptroller,DEM,Janet T. Dudding,1812
Erath,Comptroller,REP,Glenn Hegar,10968
Erath,Comptroller,LIB,,220
Falls,Comptroller,DEM,Janet T. Dudding,1115
Falls,Comptroller,REP,Glenn Hegar,3465
Falls,Comptroller,LIB,,81
Fannin,Comptroller,DEM,Janet T. Dudding,1709
Fannin,Comptroller,REP,Glenn Hegar,9605
Fannin,Comptroller,LIB,,189
Fayette,Comptroller,DEM,Janet T. Dudding,1534
Fayette,Comptroller,REP,Glenn Hegar,8748
Fayette,Comptroller,LIB,,109
Fisher,Comptroller,DEM,Janet T. Dudding,216
Fisher,Comptroller,REP,Glenn Hegar,1142
Fisher,Comptroller,LIB,,13
Floyd,Comptroller,DEM,Janet T. Dudding,191
Floyd,Comptroller,REP,Glenn Hegar,1237
Floyd,Comptroller,LIB,,23
Foard,Comptroller,DEM,Janet T. Dudding,71
Foard,Comptroller,REP,Glenn Hegar,407
Foard,Comptroller,LIB,,7
Fort Bend,Comptroller,DEM,Janet T. Dudding,118854
Fort Bend,Comptroller,REP,Glenn Hegar,121745
Fort Bend,Comptroller,LIB,,5267
Franklin,Comptroller,DEM,Janet T. Dudding,480
Franklin,Comptroller,REP,Glenn Hegar,3339
Franklin,Comptroller,LIB,,46
Freestone,Comptroller,DEM,Janet T. Dudding,941
Freestone,Comptroller,REP,Glenn Hegar,5562
Freestone,Comptroller,LIB,,72
Frio,Comptroller,DEM,Janet T. Dudding,1493
Frio,Comptroller,REP,Glenn Hegar,1647
Frio,Comptroller,LIB,,129
Gaines,Comptroller,DEM,Janet T. Dudding,290
Gaines,Comptroller,REP,Glenn Hegar,3702
Gaines,Comptroller,LIB,,60
Galveston,Comptroller,DEM,Janet T. Dudding,37570
Galveston,Comptroller,REP,Glenn Hegar,69772
Galveston,Comptroller,LIB,,2485
Garza,Comptroller,DEM,Janet T. Dudding,129
Garza,Comptroller,REP,Glenn Hegar,1024
Garza,Comptroller,LIB,,18
Gillespie,Comptroller,DEM,Janet T. Dudding,2150
Gillespie,Comptroller,REP,Glenn Hegar,10945
Gillespie,Comptroller,LIB,,199
Glasscock,Comptroller,DEM,Janet T. Dudding,20
Glasscock,Comptroller,REP,Glenn Hegar,531
Glasscock,Comptroller,LIB,,6
Goliad,Comptroller,DEM,Janet T. Dudding,617
Goliad,Comptroller,REP,Glenn Hegar,2550
Goliad,Comptroller,LIB,,75
Gonzales,Comptroller,DEM,Janet T. Dudding,985
Gonzales,Comptroller,REP,Glenn Hegar,4343
Gonzales,Comptroller,LIB,,111
Gray,Comptroller,DEM,Janet T. Dudding,458
Gray,Comptroller,REP,Glenn Hegar,4954
Gray,Comptroller,LIB,,101
Grayson,Comptroller,DEM,Janet T. Dudding,9120
Grayson,Comptroller,REP,Glenn Hegar,34703
Grayson,Comptroller,LIB,,745
Gregg,Comptroller,DEM,Janet T. Dudding,8317
Gregg,Comptroller,REP,Glenn Hegar,24089
Gregg,Comptroller,LIB,,537
Grimes,Comptroller,DEM,Janet T. Dudding,1647
Grimes,Comptroller,REP,Glenn Hegar,7593
Grimes,Comptroller,LIB,,141
Guadalupe,Comptroller,DEM,Janet T. Dudding,17719
Guadalupe,Comptroller,REP,Glenn Hegar,37023
Guadalupe,Comptroller,LIB,,1609
Hale,Comptroller,DEM,Janet T. Dudding,1050
Hale,Comptroller,REP,Glenn Hegar,5032
Hale,Comptroller,LIB,,179
Hall,Comptroller,DEM,Janet T. Dudding,95
Hall,Comptroller,REP,Glenn Hegar,750
Hall,Comptroller,LIB,,8
Hamilton,Comptroller,DEM,Janet T. Dudding,392
Hamilton,Comptroller,REP,Glenn Hegar,3002
Hamilton,Comptroller,LIB,,32
Hansford,Comptroller,DEM,Janet T. Dudding,72
Hansford,Comptroller,REP,Glenn Hegar,1392
Hansford,Comptroller,LIB,,15
Hardeman,Comptroller,DEM,Janet T. Dudding,109
Hardeman,Comptroller,REP,Glenn Hegar,851
Hardeman,Comptroller,LIB,,6
Hardin,Comptroller,DEM,Janet T. Dudding,1969
Hardin,Comptroller,REP,Glenn Hegar,17301
Hardin,Comptroller,LIB,,216
Harris,Comptroller,DEM,Janet T. Dudding,550951
Harris,Comptroller,REP,Glenn Hegar,510000
Harris,Comptroller,LIB,,28094
Harrison,Comptroller,DEM,Janet T. Dudding,4582
Harrison,Comptroller,REP,Glenn Hegar,16317
Harrison,Comptroller,LIB,,287
Hartley,Comptroller,DEM,Janet T. Dudding,100
Hartley,Comptroller,REP,Glenn Hegar,1439
Hartley,Comptroller,LIB,,12
Haskell,Comptroller,DEM,Janet T. Dudding,211
Haskell,Comptroller,REP,Glenn Hegar,1415
Haskell,Comptroller,LIB,,13
Hays,Comptroller,DEM,Janet T. Dudding,45267
Hays,Comptroller,REP,Glenn Hegar,40494
Hays,Comptroller,LIB,,2765
Hemphill,Comptroller,DEM,Janet T. Dudding,124
Hemphill,Comptroller,REP,Glenn Hegar,1164
Hemphill,Comptroller,LIB,,13
Henderson,Comptroller,DEM,Janet T. Dudding,4395
Henderson,Comptroller,REP,Glenn Hegar,22881
Henderson,Comptroller,LIB,,386
Hidalgo,Comptroller,DEM,Janet T. Dudding,74686
Hidalgo,Comptroller,REP,Glenn Hegar,53185
Hidalgo,Comptroller,LIB,,7363
Hill,Comptroller,DEM,Janet T. Dudding,1717
Hill,Comptroller,REP,Glenn Hegar,9410
Hill,Comptroller,LIB,,158
Hockley,Comptroller,DEM,Janet T. Dudding,723
Hockley,Comptroller,REP,Glenn Hegar,4632
Hockley,Comptroller,LIB,,103
Hood,Comptroller,DEM,Janet T. Dudding,3888
Hood,Comptroller,REP,Glenn Hegar,22576
Hood,Comptroller,LIB,,411
Hopkins,Comptroller,DEM,Janet T. Dudding,1846
Hopkins,Comptroller,REP,Glenn Hegar,10200
Hopkins,Comptroller,LIB,,195
Houston,Comptroller,DEM,Janet T. Dudding,1371
Houston,Comptroller,REP,Glenn Hegar,5642
Houston,Comptroller,LIB,,72
Howard,Comptroller,DEM,Janet T. Dudding,1011
Howard,Comptroller,REP,Glenn Hegar,5254
Howard,Comptroller,LIB,,167
Hudspeth,Comptroller,DEM,Janet T. Dudding,242
Hudspeth,Comptroller,REP,Glenn Hegar,534
Hudspeth,Comptroller,LIB,,48
Hunt,Comptroller,DEM,Janet T. Dudding,5802
Hunt,Comptroller,REP,Glenn Hegar,23734
Hunt,Comptroller,LIB,,589
Hutchinson,Comptroller,DEM,Janet T. Dudding,530
Hutchinson,Comptroller,REP,Glenn Hegar,5382
Hutchinson,Comptroller,LIB,,95
Irion,Comptroller,DEM,Janet T. Dudding,71
Irion,Comptroller,REP,Glenn Hegar,609
Irion,Comptroller,LIB,,14
Jack,Comptroller,DEM,Janet T. Dudding,216
Jack,Comptroller,REP,Glenn Hegar,2725
Jack,Comptroller,LIB,,26
Jackson,Comptroller,DEM,Janet T. Dudding,499
Jackson,Comptroller,REP,Glenn Hegar,4038
Jackson,Comptroller,LIB,,44
Jasper,Comptroller,DEM,Janet T. Dudding,1602
Jasper,Comptroller,REP,Glenn Hegar,9533
Jasper,Comptroller,LIB,,97
Jeff Davis,Comptroller,DEM,Janet T. Dudding,371
Jeff Davis,Comptroller,REP,Glenn Hegar,623
Jeff Davis,Comptroller,LIB,,35
Jefferson,Comptroller,DEM,Janet T. Dudding,25942
Jefferson,Comptroller,REP,Glenn Hegar,34402
Jefferson,Comptroller,LIB,,1064
Jim Hogg,Comptroller,DEM,Janet T. Dudding,785
Jim Hogg,Comptroller,REP,Glenn Hegar,398
Jim Hogg,Comptroller,LIB,,83
Jim Wells,Comptroller,DEM,Janet T. Dudding,4207
Jim Wells,Comptroller,REP,Glenn Hegar,4568
Jim Wells,Comptroller,LIB,,371
Johnson,Comptroller,DEM,Janet T. Dudding,11201
Johnson,Comptroller,REP,Glenn Hegar,43032
Johnson,Comptroller,LIB,,1054
Jones,Comptroller,DEM,Janet T. Dudding,585
Jones,Comptroller,REP,Glenn Hegar,4274
Jones,Comptroller,LIB,,81
Karnes,Comptroller,DEM,Janet T. Dudding,699
Karnes,Comptroller,REP,Glenn Hegar,2938
Karnes,Comptroller,LIB,,83
Kaufman,Comptroller,DEM,Janet T. Dudding,12901
Kaufman,Comptroller,REP,Glenn Hegar,28434
Kaufman,Comptroller,LIB,,923
Kendall,Comptroller,DEM,Janet T. Dudding,4030
Kendall,Comptroller,REP,Glenn Hegar,17857
Kendall,Comptroller,LIB,,393
Kenedy,Comptroller,DEM,Janet T. Dudding,30
Kenedy,Comptroller,REP,Glenn Hegar,91
Kenedy,Comptroller,LIB,,6
Kent,Comptroller,DEM,Janet T. Dudding,31
Kent,Comptroller,REP,Glenn Hegar,297
Kent,Comptroller,LIB,,5
Kerr,Comptroller,DEM,Janet T. Dudding,4273
Kerr,Comptroller,REP,Glenn Hegar,17681
Kerr,Comptroller,LIB,,387
Kimble,Comptroller,DEM,Janet T. Dudding,171
Kimble,Comptroller,REP,Glenn Hegar,1657
Kimble,Comptroller,LIB,,16
King,Comptroller,DEM,Janet T. Dudding,2
King,Comptroller,REP,Glenn Hegar,99
King,Comptroller,LIB,,2
Kinney,Comptroller,DEM,Janet T. Dudding,237
Kinney,Comptroller,REP,Glenn Hegar,851
Kinney,Comptroller,LIB,,33
Kleberg,Comptroller,DEM,Janet T. Dudding,3230
Kleberg,Comptroller,REP,Glenn Hegar,3897
Kleberg,Comptroller,LIB,,314
Knox,Comptroller,DEM,Janet T. Dudding,142
Knox,Comptroller,REP,Glenn Hegar,865
Knox,Comptroller,LIB,,14
La Salle,Comptroller,DEM,Janet T. Dudding,573
La Salle,Comptroller,REP,Glenn Hegar,679
La Salle,Comptroller,LIB,,40
Lamar,Comptroller,DEM,Janet T. Dudding,2518
Lamar,Comptroller,REP,Glenn Hegar,12458
Lamar,Comptroller,LIB,,201
Lamb,Comptroller,DEM,Janet T. Dudding,384
Lamb,Comptroller,REP,Glenn Hegar,2573
Lamb,Comptroller,LIB,,68
Lampasas,Comptroller,DEM,Janet T. Dudding,1397
Lampasas,Comptroller,REP,Glenn Hegar,6571
Lampasas,Comptroller,LIB,,184
Lavaca,Comptroller,DEM,Janet T. Dudding,732
Lavaca,Comptroller,REP,Glenn Hegar,7303
Lavaca,Comptroller,LIB,,61
Lee,Comptroller,DEM,Janet T. Dudding,1019
Lee,Comptroller,REP,Glenn Hegar,5066
Lee,Comptroller,LIB,,99
Leon,Comptroller,DEM,Janet T. Dudding,651
Leon,Comptroller,REP,Glenn Hegar,6075
Leon,Comptroller,LIB,,75
Liberty,Comptroller,DEM,Janet T. Dudding,3269
Liberty,Comptroller,REP,Glenn Hegar,16043
Liberty,Comptroller,LIB,,314
Limestone,Comptroller,DEM,Janet T. Dudding,1309
Limestone,Comptroller,REP,Glenn Hegar,5362
Limestone,Comptroller,LIB,,103
Lipscomb,Comptroller,DEM,Janet T. Dudding,71
Lipscomb,Comptroller,REP,Glenn Hegar,887
Lipscomb,Comptroller,LIB,,14
Live Oak,Comptroller,DEM,Janet T. Dudding,533
Live Oak,Comptroller,REP,Glenn Hegar,3353
Live Oak,Comptroller,LIB,,46
Llano,Comptroller,DEM,Janet T. Dudding,1788
Llano,Comptroller,REP,Glenn Hegar,9030
Llano,Comptroller,LIB,,136
Loving,Comptroller,DEM,Janet T. Dudding,6
Loving,Comptroller,REP,Glenn Hegar,63
Loving,Comptroller,LIB,,3
Lubbock,Comptroller,DEM,Janet T. Dudding,22181
Lubbock,Comptroller,REP,Glenn Hegar,58103
Lubbock,Comptroller,LIB,,2389
Lynn,Comptroller,DEM,Janet T. Dudding,191
Lynn,Comptroller,REP,Glenn Hegar,1466
Lynn,Comptroller,LIB,,38
Madison,Comptroller,DEM,Janet T. Dudding,562
Madison,Comptroller,REP,Glenn Hegar,3261
Madison,Comptroller,LIB,,43
Marion,Comptroller,DEM,Janet T. Dudding,716
Marion,Comptroller,REP,Glenn Hegar,2510
Marion,Comptroller,LIB,,38
Martin,Comptroller,DEM,Janet T. Dudding,145
Martin,Comptroller,REP,Glenn Hegar,1311
Martin,Comptroller,LIB,,26
Mason,Comptroller,DEM,Janet T. Dudding,311
Mason,Comptroller,REP,Glenn Hegar,1683
Mason,Comptroller,LIB,,30
Matagorda,Comptroller,DEM,Janet T. Dudding,2091
Matagorda,Comptroller,REP,Glenn Hegar,7349
Matagorda,Comptroller,LIB,,195
Maverick,Comptroller,DEM,Janet T. Dudding,4637
Maverick,Comptroller,REP,Glenn Hegar,3233
Maverick,Comptroller,LIB,,559
McCulloch,Comptroller,DEM,Janet T. Dudding,292
McCulloch,Comptroller,REP,Glenn Hegar,2209
McCulloch,Comptroller,LIB,,35
McLennan,Comptroller,DEM,Janet T. Dudding,21940
McLennan,Comptroller,REP,Glenn Hegar,48378
McLennan,Comptroller,LIB,,1505
McMullen,Comptroller,DEM,Janet T. Dudding,26
McMullen,Comptroller,REP,Glenn Hegar,331
McMullen,Comptroller,LIB,,6
Medina,Comptroller,DEM,Janet T. Dudding,4188
Medina,Comptroller,REP,Glenn Hegar,12582
Medina,Comptroller,LIB,,408
Menard,Comptroller,DEM,Janet T. Dudding,106
Menard,Comptroller,REP,Glenn Hegar,639
Menard,Comptroller,LIB,,13
Midland,Comptroller,DEM,Janet T. Dudding,6258
Midland,Comptroller,REP,Glenn Hegar,31817
Midland,Comptroller,LIB,,1024
Milam,Comptroller,DEM,Janet T. Dudding,1484
Milam,Comptroller,REP,Glenn Hegar,6685
Milam,Comptroller,LIB,,118
Mills,Comptroller,DEM,Janet T. Dudding,187
Mills,Comptroller,REP,Glenn Hegar,1885
Mills,Comptroller,LIB,,26
Mitchell,Comptroller,DEM,Janet T. Dudding,179
Mitchell,Comptroller,REP,Glenn Hegar,1549
Mitchell,Comptroller,LIB,,21
Montague,Comptroller,DEM,Janet T. Dudding,736
Montague,Comptroller,REP,Glenn Hegar,6921
Montague,Comptroller,LIB,,89
Montgomery,Comptroller,DEM,Janet T. Dudding,47536
Montgomery,Comptroller,REP,Glenn Hegar,154469
Montgomery,Comptroller,LIB,,3957
Moore,Comptroller,DEM,Janet T. Dudding,442
Moore,Comptroller,REP,Glenn Hegar,3004
Moore,Comptroller,LIB,,90
Morris,Comptroller,DEM,Janet T. Dudding,923
Morris,Comptroller,REP,Glenn Hegar,2993
Morris,Comptroller,LIB,,29
Motley,Comptroller,DEM,Janet T. Dudding,21
Motley,Comptroller,REP,Glenn Hegar,474
Motley,Comptroller,LIB,,3
Nacogdoches,Comptroller,DEM,Janet T. Dudding,5231
Nacogdoches,Comptroller,REP,Glenn Hegar,13211
Nacogdoches,Comptroller,LIB,,329
Navarro,Comptroller,DEM,Janet T. Dudding,2896
Navarro,Comptroller,REP,Glenn Hegar,10859
Navarro,Comptroller,LIB,,273
Newton,Comptroller,DEM,Janet T. Dudding,699
Newton,Comptroller,REP,Glenn Hegar,3558
Newton,Comptroller,LIB,,30
Nolan,Comptroller,DEM,Janet T. Dudding,605
Nolan,Comptroller,REP,Glenn Hegar,3046
Nolan,Comptroller,LIB,,80
Nueces,Comptroller,DEM,Janet T. Dudding,37591
Nueces,Comptroller,REP,Glenn Hegar,46905
Nueces,Comptroller,LIB,,3054
Ochiltree,Comptroller,DEM,Janet T. Dudding,123
Ochiltree,Comptroller,REP,Glenn Hegar,1964
Ochiltree,Comptroller,LIB,,24
Oldham,Comptroller,DEM,Janet T. Dudding,53
Oldham,Comptroller,REP,Glenn Hegar,705
Oldham,Comptroller,LIB,,4
Orange,Comptroller,DEM,Janet T. Dudding,3712
Orange,Comptroller,REP,Glenn Hegar,20873
Orange,Comptroller,LIB,,287
Palo Pinto,Comptroller,DEM,Janet T. Dudding,1372
Palo Pinto,Comptroller,REP,Glenn Hegar,7904
Palo Pinto,Comptroller,LIB,,144
Panola,Comptroller,DEM,Janet T. Dudding,1209
Panola,Comptroller,REP,Glenn Hegar,6923
Panola,Comptroller,LIB,,69
Parker,Comptroller,DEM,Janet T. Dudding,9085
Parker,Comptroller,REP,Glenn Hegar,52736
Parker,Comptroller,LIB,,1125
Parmer,Comptroller,DEM,Janet T. Dudding,183
Parmer,Comptroller,REP,Glenn Hegar,1520
Parmer,Comptroller,LIB,,43
Pecos,Comptroller,DEM,Janet T. Dudding,978
Pecos,Comptroller,REP,Glenn Hegar,2282
Pecos,Comptroller,LIB,,206
Polk,Comptroller,DEM,Janet T. Dudding,3021
Polk,Comptroller,REP,Glenn Hegar,13327
Polk,Comptroller,LIB,,261
Potter,Comptroller,DEM,Janet T. Dudding,5051
Potter,Comptroller,REP,Glenn Hegar,15954
Potter,Comptroller,LIB,,593
Presidio,Comptroller,DEM,Janet T. Dudding,1048
Presidio,Comptroller,REP,Glenn Hegar,446
Presidio,Comptroller,LIB,,98
Rains,Comptroller,DEM,Janet T. Dudding,561
Rains,Comptroller,REP,Glenn Hegar,4339
Rains,Comptroller,LIB,,49
Randall,Comptroller,DEM,Janet T. Dudding,7673
Randall,Comptroller,REP,Glenn Hegar,39033
Randall,Comptroller,LIB,,931
Reagan,Comptroller,DEM,Janet T. Dudding,77
Reagan,Comptroller,REP,Glenn Hegar,601
Reagan,Comptroller,LIB,,14
Real,Comptroller,DEM,Janet T. Dudding,200
Real,Comptroller,REP,Glenn Hegar,1320
Real,Comptroller,LIB,,25
Red River,Comptroller,DEM,Janet T. Dudding,732
Red River,Comptroller,REP,Glenn Hegar,3463
Red River,Comptroller,LIB,,46
Reeves,Comptroller,DEM,Janet T. Dudding,713
Reeves,Comptroller,REP,Glenn Hegar,1128
Reeves,Comptroller,LIB,,109
Refugio,Comptroller,DEM,Janet T. Dudding,613
Refugio,Comptroller,REP,Glenn Hegar,1599
Refugio,Comptroller,LIB,,49
Roberts,Comptroller,DEM,Janet T. Dudding,10
Roberts,Comptroller,REP,Glenn Hegar,425
Roberts,Comptroller,LIB,,4
Robertson,Comptroller,DEM,Janet T. Dudding,1242
Robertson,Comptroller,REP,Glenn Hegar,4573
Robertson,Comptroller,LIB,,106
Rockwall,Comptroller,DEM,Janet T. Dudding,10945
Rockwall,Comptroller,REP,Glenn Hegar,30931
Rockwall,Comptroller,LIB,,912
Runnels,Comptroller,DEM,Janet T. Dudding,274
Runnels,Comptroller,REP,Glenn Hegar,2887
Runnels,Comptroller,LIB,,47
Rusk,Comptroller,DEM,Janet T. Dudding,2597
Rusk,Comptroller,REP,Glenn Hegar,12629
Rusk,Comptroller,LIB,,182
Sabine,Comptroller,DEM,Janet T. Dudding,386
Sabine,Comptroller,REP,Glenn Hegar,3756
Sabine,Comptroller,LIB,,19
San Augustine,Comptroller,DEM,Janet T. Dudding,592
San Augustine,Comptroller,REP,Glenn Hegar,2223
