county,office,district,candidate,party,votes
LEE,Attorney General,,Sam Houston,DEM,988
LEE,Attorney General,,Ken Paxton,REP,3025
LEE,Attorney General,,OTHER,OTH,160
LEON,Attorney General,,Sam Houston,DEM,526
LEON,Attorney General,,Ken Paxton,REP,3651
LEON,Attorney General,,OTHER,OTH,56
LIBERTY,Attorney General,,Sam Houston,DEM,2621
LIBERTY,Attorney General,,Ken Paxton,REP,9514
LIBERTY,Attorney General,,OTHER,OTH,230
LIMESTONE,Attorney General,,Sam Houston,DEM,1032
LIMESTONE,Attorney General,,Ken Paxton,REP,3193
LIMESTONE,Attorney General,,OTHER,OTH,54
LIPSCOMB,Attorney General,,Sam Houston,DEM,86
LIPSCOMB,Attorney General,,Ken Paxton,REP,744
LIPSCOMB,Attorney General,,OTHER,OTH,17
LIVE OAK,Attorney General,,Sam Houston,DEM,417
LIVE OAK,Attorney General,,Ken Paxton,REP,1957
LIVE OAK,Attorney General,,OTHER,OTH,50
LLANO,Attorney General,,Sam Houston,DEM,1262
LLANO,Attorney General,,Ken Paxton,REP,5524
LLANO,Attorney General,,OTHER,OTH,227
LOVING,Attorney General,,Sam Houston,DEM,8
LOVING,Attorney General,,Ken Paxton,REP,31
LOVING,Attorney General,,OTHER,OTH,1
LUBBOCK,Attorney General,,Sam Houston,DEM,10739
LUBBOCK,Attorney General,,Ken Paxton,REP,34805
LUBBOCK,Attorney General,,OTHER,OTH,1320
LYNN,Attorney General,,Sam Houston,DEM,240
LYNN,Attorney General,,Ken Paxton,REP,918
LYNN,Attorney General,,OTHER,OTH,19
MADISON,Attorney General,,Sam Houston,DEM,493
MADISON,Attorney General,,Ken Paxton,REP,1895
MADISON,Attorney General,,OTHER,OTH,29
MARION,Attorney General,,Sam Houston,DEM,728
MARION,Attorney General,,Ken Paxton,REP,1442
MARION,Attorney General,,OTHER,OTH,40
MARTIN,Attorney General,,Sam Houston,DEM,157
MARTIN,Attorney General,,Ken Paxton,REP,941
MARTIN,Attorney General,,OTHER,OTH,35
MASON,Attorney General,,Sam Houston,DEM,232
MASON,Attorney General,,Ken Paxton,REP,1072
MASON,Attorney General,,OTHER,OTH,47
MATAGORDA,Attorney General,,Sam Houston,DEM,2062
MATAGORDA,Attorney General,,Ken Paxton,REP,4641
MATAGORDA,Attorney General,,OTHER,OTH,178
MAVERICK,Attorney General,,Sam Houston,DEM,3715
MAVERICK,Attorney General,,Ken Paxton,REP,1109
MAVERICK,Attorney General,,OTHER,OTH,289
MCCULLOCH,Attorney General,,Sam Houston,DEM,275
MCCULLOCH,Attorney General,,Ken Paxton,REP,1396
MCCULLOCH,Attorney General,,OTHER,OTH,50
MCLENNAN,Attorney General,,Sam Houston,DEM,13107
MCLENNAN,Attorney General,,Ken Paxton,REP,29662
MCLENNAN,Attorney General,,OTHER,OTH,988
MCMULLEN,Attorney General,,Sam Houston,DEM,34
MCMULLEN,Attorney General,,Ken Paxton,REP,194
MCMULLEN,Attorney General,,OTHER,OTH,5
MEDINA,Attorney General,,Sam Houston,DEM,2331
MEDINA,Attorney General,,Ken Paxton,REP,7200
MEDINA,Attorney General,,OTHER,OTH,260
MENARD,Attorney General,,Sam Houston,DEM,61
MENARD,Attorney General,,Ken Paxton,REP,402
MENARD,Attorney General,,OTHER,OTH,11
MIDLAND,Attorney General,,Sam Houston,DEM,3050
MIDLAND,Attorney General,,Ken Paxton,REP,19810
MIDLAND,Attorney General,,OTHER,OTH,542
MILAM,Attorney General,,Sam Houston,DEM,1319
MILAM,Attorney General,,Ken Paxton,REP,3390
MILAM,Attorney General,,OTHER,OTH,163
MILLS,Attorney General,,Sam Houston,DEM,161
MILLS,Attorney General,,Ken Paxton,REP,1151
MILLS,Attorney General,,OTHER,OTH,26
MITCHELL,Attorney General,,Sam Houston,DEM,454
MITCHELL,Attorney General,,Ken Paxton,REP,729
MITCHELL,Attorney General,,OTHER,OTH,22
MONTAGUE,Attorney General,,Sam Houston,DEM,907
MONTAGUE,Attorney General,,Ken Paxton,REP,5604
MONTAGUE,Attorney General,,OTHER,OTH,148
