county,office,district,candidate,party,votes
MORRIS,"Judge, Court of Criminal Appeals Place 9",,David Newell,REP,1990
MORRIS,"Judge, Court of Criminal Appeals Place 9",,OTHER,OTH,373
MOTLEY,"Judge, Court of Criminal Appeals Place 9",,David Newell,REP,326
MOTLEY,"Judge, Court of Criminal Appeals Place 9",,OTHER,OTH,11
NACOGDOCHES,"Judge, Court of Criminal Appeals Place 9",,David Newell,REP,8816
NACOGDOCHES,"Judge, Court of Criminal Appeals Place 9",,OTHER,OTH,1357
NAVARRO,"Judge, Court of Criminal Appeals Place 9",,David Newell,REP,7259
NAVARRO,"Judge, Court of Criminal Appeals Place 9",,OTHER,OTH,966
NEWTON,"Judge, Court of Criminal Appeals Place 9",,David Newell,REP,2076
NEWTON,"Judge, Court of Criminal Appeals Place 9",,OTHER,OTH,304
NOLAN,"Judge, Court of Criminal Appeals Place 9",,David Newell,REP,1986
